Target_name	Target_accession	Query_name	Query_accession	Full_seq_evalue	Full_seq_score	Full_seq_bias	Best_1_dom_evalue	Best_1_dom_score	Best_1_dom_bias	exp	reg	clu	ov	env	dom	rep	inc	Description_of_target
V-set	PF07686.19	1a4k_B	-	4e-13	49.6	1.3	4.2e-12	46.3	0.1	2.6	3	0	0	3	3	1	1	"Immunoglobulin V-set domain"
ig	PF00047.27	1a4k_B	-	6.7e-10	39.1	3.9	0.00077	19.7	0.2	3.3	2	2	0	2	2	0	0	"Immunoglobulin domain"
Ig_3	PF13927.8	1a4k_B	-	2.4e-09	37.7	1.4	0.0011	19.5	0.1	2.8	2	1	0	2	2	0	0	"Immunoglobulin domain"
gpD	PF02925.18	1al0_4	-	2.1e-98	326.0	1.7	2.4e-98	325.8	1.7	1.0	1	0	0	1	1	1	1	"Bacteriophage scaffolding protein D"
HLH	PF00010.28	1an4_A	-	1e-17	64.0	0.3	1.2e-17	63.7	0.3	1.1	1	0	0	1	1	1	1	"Helix-loop-helix DNA-binding domain"
Coagulin	PF02035.17	1aoc_A	-	7.4e-113	374.5	16.3	8.3e-113	374.3	16.3	1.0	1	0	0	1	1	1	1	"Coagulin"
Spaetzle	PF16077.7	1aoc_A	-	1.3e-06	29.0	6.7	2.5e-06	28.0	6.7	1.5	1	0	0	1	1	1	1	"Spaetzle"
SH3_1	PF00018.30	1aoj_A	-	3.5e-13	49.0	0.0	4e-13	48.8	0.0	1.1	1	0	0	1	1	1	1	"SH3 domain"
SH3_9	PF14604.8	1aoj_A	-	3.5e-09	36.6	0.0	4e-09	36.4	0.0	1.1	1	0	0	1	1	1	1	"Variant SH3 domain"
SH3_2	PF07653.19	1aoj_A	-	4.4e-07	29.7	0.0	4.6e-07	29.7	0.0	1.0	1	0	0	1	1	1	1	"Variant SH3 domain"
Apolipoprotein	PF01442.20	1av1_A	-	5.1e-59	199.4	14.8	6.2e-59	199.1	14.8	1.1	1	0	0	1	1	1	1	"Apolipoprotein A1/A4/E domain"
CheW	PF01584.21	1b3q_B	-	2.1e-26	92.3	4.1	3.5e-26	91.6	4.1	1.3	1	0	0	1	1	1	1	"CheW-like domain"
HATPase_c	PF02518.28	1b3q_B	-	6.3e-19	68.6	0.2	1.8e-18	67.2	0.2	1.8	1	0	0	1	1	1	1	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
H-kinase_dim	PF02895.16	1b3q_B	-	9.9e-17	61.2	3.7	2.3e-16	60.1	3.7	1.7	1	0	0	1	1	1	1	"Signal transducing histidine kinase, homodimeric domain"
SAM_1	PF00536.32	1b4f_B	-	1.4e-22	80.0	0.0	1.6e-22	79.8	0.0	1.1	1	0	0	1	1	1	1	"SAM domain (Sterile alpha motif)"
SAM_2	PF07647.19	1b4f_B	-	8.3e-21	74.0	0.0	1e-20	73.7	0.0	1.1	1	0	0	1	1	1	1	"SAM domain (Sterile alpha motif)"
C1-set	PF07654.17	1b6d_A	-	1.5e-24	86.2	1.2	3.9e-24	84.9	0.5	1.9	2	0	0	2	2	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	1b6d_A	-	6.9e-19	68.1	1.8	2.1e-17	63.4	0.0	2.4	2	1	0	2	2	1	1	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	1b6d_A	-	5e-15	55.9	2.9	5.2e-07	30.2	0.1	2.2	2	0	0	2	2	1	1	"Immunoglobulin domain"
ig	PF00047.27	1b6d_A	-	7.2e-12	45.4	1.6	8.5e-06	26.0	0.0	2.3	2	0	0	2	2	1	1	"Immunoglobulin domain"
I-set	PF07679.18	1b6d_A	-	2.2e-09	37.4	0.3	2.3e-05	24.5	0.0	2.3	2	0	0	2	2	1	1	"Immunoglobulin I-set domain"
Ig_2	PF13895.8	1b6d_A	-	8.5e-08	32.5	1.6	0.002	18.6	0.1	2.4	2	1	0	2	2	0	0	"Immunoglobulin domain"
C2-set_2	PF08205.14	1b6d_A	-	8.8e-05	22.6	1.5	0.00077	19.6	0.2	2.2	2	1	0	2	2	0	0	"CD80-like C2-set immunoglobulin domain"
C1-set	PF07654.17	1bbd_H	-	2.5e-19	69.5	1.2	8.1e-16	58.2	0.1	2.7	2	1	0	2	2	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	1bbd_H	-	3.4e-14	53.1	1.6	2.1e-13	50.5	0.2	2.1	2	0	0	2	2	1	1	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	1bbd_H	-	2.4e-09	37.7	4.1	6.8e-05	23.4	0.1	2.8	2	2	1	3	3	0	0	"Immunoglobulin domain"
ig	PF00047.27	1bbd_H	-	7.6e-06	26.1	4.6	0.011	16.0	0.3	3.3	2	2	0	2	2	0	0	"Immunoglobulin domain"
I-set	PF07679.18	1bbd_H	-	3.6e-05	23.9	0.1	0.0034	17.5	0.0	2.6	2	1	0	2	2	0	0	"Immunoglobulin I-set domain"
C2-set_2	PF08205.14	1bbd_H	-	0.00015	21.8	2.7	0.001	19.1	0.6	2.4	2	1	0	2	2	0	0	"CD80-like C2-set immunoglobulin domain"
Cytochrom_C_2	PF01322.22	1bbh_A	-	1.8e-34	119.4	0.3	2e-34	119.2	0.3	1.0	1	0	0	1	1	1	1	"Cytochrome C'"
DNA_pol_A	PF00476.22	1bgx_T	-	2e-150	501.1	0.0	3e-150	500.6	0.0	1.2	1	0	0	1	1	1	1	"DNA polymerase family A"
5_3_exonuc_N	PF02739.18	1bgx_T	-	1e-48	165.3	0.0	2.8e-48	163.9	0.0	1.7	2	0	0	2	2	1	1	"5'-3' exonuclease, N-terminal resolvase-like domain"
Taq-exonuc	PF09281.12	1bgx_T	-	3.6e-40	137.1	0.5	8e-40	136.0	0.5	1.6	1	0	0	1	1	1	1	"Taq polymerase, exonuclease"
5_3_exonuc	PF01367.22	1bgx_T	-	3.4e-28	98.2	0.0	1e-27	96.7	0.0	1.8	1	0	0	1	1	1	1	"5'-3' exonuclease, C-terminal SAM fold"
UCR_UQCRX_QCR9	PF05365.14	1bgy_J	-	6.7e-27	93.3	0.1	7.4e-27	93.1	0.1	1.0	1	0	0	1	1	1	1	"Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like"
Pkinase	PF00069.27	1blx_A	-	1.3e-68	231.4	0.0	1.5e-68	231.2	0.0	1.0	1	0	0	1	1	1	1	"Protein kinase domain"
PK_Tyr_Ser-Thr	PF07714.19	1blx_A	-	2.9e-35	121.9	0.0	4.9e-35	121.2	0.0	1.5	1	1	0	1	1	1	1	"Protein tyrosine and serine/threonine kinase"
APH	PF01636.25	1blx_A	-	2.3e-06	27.7	0.3	0.00064	19.7	0.0	2.5	2	1	1	3	3	0	0	"Phosphotransferase enzyme family"
ABC1	PF03109.18	1blx_A	-	1.2e-05	24.6	0.1	3.3e-05	23.2	0.0	1.6	2	0	0	2	2	1	1	"ABC1 atypical kinase-like domain"
Kdo	PF06293.16	1blx_A	-	6.7e-05	22.5	0.0	0.00012	21.7	0.0	1.3	1	0	0	1	1	1	1	"Lipopolysaccharide kinase (Kdo/WaaP) family"
SPARC_Ca_bdg	PF10591.11	1bmo_A	-	6.7e-40	136.0	0.2	1.5e-39	135.0	0.2	1.6	1	0	0	1	1	1	1	"Secreted protein acidic and rich in cysteine Ca binding region"
Kazal_1	PF00050.23	1bmo_A	-	9.3e-14	51.3	4.4	9.3e-14	51.3	4.4	2.6	3	0	0	3	3	1	1	"Kazal-type serine protease inhibitor domain"
Kazal_2	PF07648.17	1bmo_A	-	1.8e-11	44.1	2.2	1.8e-11	44.1	2.2	2.8	3	0	0	3	3	1	1	"Kazal-type serine protease inhibitor domain"
FOLN	PF09289.12	1bmo_A	-	1.2e-09	38.2	8.3	1.2e-09	38.2	8.3	2.1	3	0	0	3	3	1	1	"Follistatin/Osteonectin-like EGF domain"
Transferrin	PF00405.19	1bp5_C	-	1.2e-175	583.5	0.4	1.4e-175	583.3	0.4	1.0	1	0	0	1	1	1	1	"Transferrin"
Phosphonate-bd	PF12974.9	1bp5_C	-	1.2e-06	28.3	0.0	2.6e-06	27.3	0.0	1.6	1	1	0	1	1	1	1	"ABC transporter, phosphonate, periplasmic substrate-binding protein"
RVT_connect	PF06815.15	1bqn_B	-	1.2e-59	198.9	13.8	1.6e-59	198.5	12.5	1.9	2	0	0	2	2	1	1	"Reverse transcriptase connection domain"
RVT_1	PF00078.29	1bqn_B	-	9.4e-36	123.5	0.1	2.4e-35	122.2	0.0	1.7	2	0	0	2	2	1	1	"Reverse transcriptase (RNA-dependent DNA polymerase)"
RVT_thumb	PF06817.16	1bqn_B	-	1e-20	73.4	0.0	2.4e-20	72.2	0.0	1.7	1	0	0	1	1	1	1	"Reverse transcriptase thumb domain"
rve	PF00665.28	1c0m_C	-	2.8e-18	66.2	0.1	4.6e-18	65.5	0.1	1.3	1	0	0	1	1	1	1	"Integrase core domain"
IN_DBD_C	PF00552.23	1c0m_C	-	1.2e-06	27.8	0.9	2.9e-06	26.6	0.9	1.6	1	0	0	1	1	1	1	"Integrase DNA binding domain"
C1q	PF00386.23	1c3h_A	-	1.7e-42	144.7	1.8	1.9e-42	144.5	1.8	1.0	1	0	0	1	1	1	1	"C1q domain"
SCP2	PF02036.19	1c44_A	-	4.8e-32	110.5	0.7	6.1e-32	110.2	0.7	1.0	1	0	0	1	1	1	1	"SCP-2 sterol transfer family"
Alkyl_sulf_C	PF14864.8	1c44_A	-	1.2e-07	32.1	0.0	1.7e-07	31.7	0.0	1.2	1	0	0	1	1	1	1	"Alkyl sulfatase C-terminal"
V-set	PF07686.19	1cdc_B	-	2.9e-13	50.0	0.0	3.2e-13	49.9	0.0	1.0	1	0	0	1	1	1	1	"Immunoglobulin V-set domain"
Arrestin_N	PF00339.31	1cf1_C	-	6.3e-35	120.5	0.1	3.8e-31	108.2	0.0	2.3	2	0	0	2	2	1	1	"Arrestin (or S-antigen), N-terminal domain"
Arrestin_C	PF02752.24	1cf1_C	-	8.1e-24	84.7	1.6	1.2e-23	84.1	1.6	1.3	1	0	0	1	1	1	1	"Arrestin (or S-antigen), C-terminal domain"
C1-set	PF07654.17	1cic_D	-	1.2e-17	64.1	0.2	1.8e-14	53.9	0.0	2.5	3	0	0	3	3	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	1cic_D	-	6e-15	55.5	0.4	8.3e-14	51.8	0.1	2.1	2	0	0	2	2	1	1	"Immunoglobulin V-set domain"
ig	PF00047.27	1cic_D	-	1.6e-05	25.1	0.8	0.046	14.0	0.1	2.6	2	1	0	2	2	0	0	"Immunoglobulin domain"
Sushi	PF00084.22	1ckl_A	-	1.1e-16	61.2	3.9	8.5e-09	36.0	0.2	2.1	2	0	0	2	2	2	2	"Sushi repeat (SCR repeat)"
mRNA_cap_enzyme	PF01331.21	1ckm_A	-	2.5e-56	190.7	1.1	3.5e-56	190.2	1.1	1.2	1	0	0	1	1	1	1	"mRNA capping enzyme, catalytic domain"
mRNA_cap_C	PF03919.17	1ckm_A	-	1.6e-09	38.4	0.0	3.5e-09	37.3	0.0	1.6	1	0	0	1	1	1	1	"mRNA capping enzyme, C-terminal domain"
Topoisom_bac	PF01131.22	1cyy_B	-	1.2e-67	228.9	0.1	1.3e-67	228.8	0.1	1.0	1	0	0	1	1	1	1	"DNA topoisomerase"
GTP_EFTU	PF00009.29	1d2e_A	-	3.9e-53	180.0	0.0	5.1e-53	179.6	0.0	1.1	1	0	0	1	1	1	1	"Elongation factor Tu GTP binding domain"
GTP_EFTU_D3	PF03143.19	1d2e_A	-	1.3e-28	99.5	0.0	2.9e-28	98.4	0.0	1.5	1	0	0	1	1	1	1	"Elongation factor Tu C-terminal domain"
GTP_EFTU_D2	PF03144.27	1d2e_A	-	1.1e-15	57.8	0.4	3.2e-15	56.3	0.4	1.8	1	0	0	1	1	1	1	"Elongation factor Tu domain 2"
C1-set	PF07654.17	1d5i_H	-	1.5e-18	67.0	1.1	1.1e-16	61.0	0.0	2.9	3	0	0	3	3	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	1d5i_H	-	1.7e-12	47.6	2.3	9.4e-12	45.2	0.3	2.6	3	0	0	3	3	1	1	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	1d5i_H	-	2.3e-09	37.7	2.2	0.00042	20.9	0.1	2.6	2	1	0	2	2	0	0	"Immunoglobulin domain"
ig	PF00047.27	1d5i_H	-	1.5e-05	25.2	4.7	0.00079	19.7	0.2	3.3	2	2	0	2	2	0	0	"Immunoglobulin domain"
IFN-gamma	PF00714.19	1d9g_A	-	8.1e-60	200.8	7.7	8.9e-60	200.7	7.7	1.0	1	0	0	1	1	1	1	"Interferon gamma"
Peripla_BP_4	PF13407.8	1dbp_A	-	4.5e-58	196.9	12.1	5.1e-58	196.8	12.1	1.0	1	0	0	1	1	1	1	"Periplasmic binding protein domain"
Peripla_BP_1	PF00532.23	1dbp_A	-	4.1e-27	95.4	2.6	4.9e-27	95.2	2.6	1.0	1	0	0	1	1	1	1	"Periplasmic binding proteins and sugar binding domain of LacI family"
Peripla_BP_3	PF13377.8	1dbp_A	-	1.3e-13	51.7	0.1	4.4e-13	49.9	0.2	1.7	2	0	0	2	2	1	1	"Periplasmic binding protein-like domain"
Peripla_BP_6	PF13458.8	1dbp_A	-	8.7e-12	45.5	4.7	1.1e-11	45.1	4.7	1.3	1	0	0	1	1	1	1	"Periplasmic binding protein"
Fibrinogen_C	PF00147.20	1deq_B	-	2e-93	312.4	13.3	2.6e-93	312.0	13.3	1.2	1	0	0	1	1	1	1	"Fibrinogen beta and gamma chains, C-terminal globular domain"
Fib_alpha	PF08702.12	1deq_B	-	2.9e-47	160.5	4.4	4e-47	160.1	4.4	1.2	1	0	0	1	1	1	1	"Fibrinogen alpha/beta chain family"
Transferrin	PF00405.19	1dot_A	-	7.5e-233	771.5	11.2	8e-146	485.5	0.5	2.0	2	0	0	2	2	2	2	"Transferrin"
Phosphonate-bd	PF12974.9	1dot_A	-	1.5e-12	47.7	0.0	5.1e-07	29.6	0.0	2.7	2	1	0	2	2	1	1	"ABC transporter, phosphonate, periplasmic substrate-binding protein"
SBP_bac_5	PF00496.24	1dpe_A	-	1.2e-107	360.3	8.0	1.5e-107	360.0	8.0	1.1	1	0	0	1	1	1	1	"Bacterial extracellular solute-binding proteins, family 5 Middle"
eRF1_2	PF03464.17	1dt9_A	-	1.7e-46	157.9	0.1	3e-46	157.1	0.1	1.4	1	0	0	1	1	1	1	"eRF1 domain 2"
eRF1_3	PF03465.17	1dt9_A	-	5.2e-39	133.3	0.3	1.1e-38	132.2	0.3	1.6	1	0	0	1	1	1	1	"eRF1 domain 3"
eRF1_1	PF03463.17	1dt9_A	-	5.2e-13	49.2	0.0	9.4e-13	48.4	0.0	1.5	1	0	0	1	1	1	1	"eRF1 domain 1"
acVLRF1	PF18859.3	1dt9_A	-	1.3e-07	32.0	0.1	2e-07	31.4	0.1	1.3	1	0	0	1	1	1	1	"Actinobacteria/chloroflexi VLRF1 release factor"
baeRF_family10	PF18854.3	1dt9_A	-	9.2e-07	29.3	0.0	1.6e-06	28.5	0.0	1.4	1	0	0	1	1	1	1	"Bacterial archaeo-eukaryotic release factor family 10"
CPSase_L_D2	PF02786.19	1dv2_A	-	2.3e-85	285.5	0.0	3.4e-85	284.9	0.0	1.3	1	0	0	1	1	1	1	"Carbamoyl-phosphate synthase L chain, ATP binding domain"
Biotin_carb_N	PF00289.24	1dv2_A	-	4.4e-44	149.6	0.1	9.3e-44	148.6	0.1	1.6	1	0	0	1	1	1	1	"Biotin carboxylase, N-terminal domain"
Biotin_carb_C	PF02785.21	1dv2_A	-	1.2e-38	131.5	0.0	2.5e-38	130.6	0.0	1.5	1	0	0	1	1	1	1	"Biotin carboxylase C-terminal domain"
ATP-grasp_3	PF02655.16	1dv2_A	-	2.1e-06	28.0	0.0	3.8e-06	27.1	0.0	1.4	1	0	0	1	1	1	1	"ATP-grasp domain"
Dala_Dala_lig_C	PF07478.15	1dv2_A	-	1.7e-06	27.8	0.0	4.6e-06	26.3	0.0	1.7	1	1	0	1	1	1	1	"D-ala D-ala ligase C-terminus"
ATP-grasp	PF02222.24	1dv2_A	-	1.9e-06	27.7	0.0	3.7e-06	26.7	0.0	1.4	1	0	0	1	1	1	1	"ATP-grasp domain"
ADK	PF00406.24	1dvr_A	-	3.5e-59	199.3	0.0	4.2e-59	199.1	0.0	1.0	1	0	0	1	1	1	1	"Adenylate kinase"
AAA_17	PF13207.8	1dvr_A	-	9.8e-21	74.7	0.1	3.8e-20	72.8	0.0	1.8	1	1	1	2	2	1	1	"AAA domain"
ADK_lid	PF05191.16	1dvr_A	-	1.2e-14	54.0	0.0	2.8e-14	52.8	0.0	1.6	1	0	0	1	1	1	1	"Adenylate kinase, active site lid"
DnaB_C	PF03796.17	1e0k_A	-	1.6e-16	60.5	0.0	2.1e-16	60.1	0.0	1.1	1	0	0	1	1	1	1	"DnaB-like helicase C terminal domain"
AAA_25	PF13481.8	1e0k_A	-	3.4e-08	33.3	0.1	7.4e-08	32.2	0.1	1.5	1	1	0	1	1	1	1	"AAA domain"
AAA	PF00004.31	1e0k_A	-	4.9e-05	23.9	0.1	0.0018	18.8	0.1	2.2	1	1	0	1	1	0	0	"ATPase family associated with various cellular activities (AAA)"
Ecotin	PF03974.15	1ecy_A	-	1.4e-50	170.5	0.1	1.6e-50	170.3	0.1	1.0	1	0	0	1	1	1	1	"Ecotin"
EF_TS	PF00889.21	1efu_B	-	6.6e-66	222.0	3.5	6.6e-66	222.0	3.5	1.5	2	0	0	2	2	1	1	"Elongation factor TS"
ETF	PF01012.23	1efv_B	-	8.8e-50	169.1	0.8	1.1e-49	168.8	0.8	1.1	1	0	0	1	1	1	1	"Electron transfer flavoprotein domain"
Fibrinogen_C	PF00147.20	1ei3_C	-	3.7e-92	308.2	9.1	5.4e-92	307.7	9.1	1.2	1	0	0	1	1	1	1	"Fibrinogen beta and gamma chains, C-terminal globular domain"
Fib_alpha	PF08702.12	1ei3_C	-	3.2e-41	140.9	9.7	4.2e-41	140.5	9.7	1.2	1	0	0	1	1	1	1	"Fibrinogen alpha/beta chain family"
TMV_coat	PF00721.23	1ei7_A	-	8.2e-34	116.9	0.2	1e-33	116.5	0.2	1.1	1	0	0	1	1	1	1	"Virus coat protein (TMV like)"
RRF	PF01765.21	1ek8_A	-	8.1e-63	211.3	1.6	1e-62	210.9	1.6	1.1	1	0	0	1	1	1	1	"Ribosome recycling factor"
BamHI	PF02923.17	1esg_B	-	5.1e-37	127.1	0.1	6.4e-37	126.8	0.1	1.1	1	0	0	1	1	1	1	"Restriction endonuclease BamHI"
Transglut_C	PF00927.24	1f13_A	-	6.8e-48	161.3	0.0	1.7e-24	86.1	0.0	2.3	2	0	0	2	2	2	2	"Transglutaminase family, C-terminal ig like domain"
Transglut_N	PF00868.22	1f13_A	-	4.1e-33	114.3	0.1	4.4e-32	111.0	0.0	2.6	3	0	0	3	3	1	1	"Transglutaminase family"
Transglut_core	PF01841.21	1f13_A	-	2.9e-17	63.2	0.1	6.8e-17	62.0	0.1	1.6	1	0	0	1	1	1	1	"Transglutaminase-like superfamily"
GP41	PF00517.19	1f23_D	-	6.3e-09	36.1	4.5	8.7e-05	22.6	0.5	2.0	2	0	0	2	2	0	0	"Retroviral envelope protein"
Pyr_redox_2	PF07992.16	1f6m_A	-	5.2e-50	170.5	0.3	6.1e-50	170.2	0.3	1.0	1	0	0	1	1	1	1	"Pyridine nucleotide-disulphide oxidoreductase"
Pyr_redox_3	PF13738.8	1f6m_A	-	5.2e-22	78.6	0.2	3.7e-18	65.9	0.0	2.1	1	1	1	2	2	1	1	"Pyridine nucleotide-disulphide oxidoreductase"
Pyr_redox	PF00070.29	1f6m_A	-	2.8e-20	72.7	1.9	5e-19	68.7	0.9	2.4	2	0	0	2	2	1	1	"Pyridine nucleotide-disulphide oxidoreductase"
HI0933_like	PF03486.16	1f6m_A	-	1.5e-06	27.3	0.4	0.19	10.5	0.1	4.4	4	1	1	5	5	0	0	"HI0933-like protein"
FAD_binding_2	PF00890.26	1f6m_A	-	5.3e-06	25.9	5.5	0.0066	15.7	0.2	3.5	2	1	2	4	4	0	0	"FAD binding domain"
GIDA	PF01134.24	1f6m_A	-	1.4e-05	24.5	2.3	0.043	13.0	0.1	3.8	4	0	0	4	4	0	0	"Glucose inhibited division protein A"
tRNA-synt_1d	PF00750.21	1f7u_A	-	3.1e-123	411.2	6.5	3.8e-123	411.0	6.5	1.1	1	0	0	1	1	1	1	"tRNA synthetases class I (R)"
DALR_1	PF05746.17	1f7u_A	-	1.8e-30	105.6	0.2	4.8e-29	101.0	0.1	2.5	2	0	0	2	2	1	1	"DALR anticodon binding domain"
Arg_tRNA_synt_N	PF03485.18	1f7u_A	-	1.3e-10	41.8	0.0	4.9e-10	39.9	0.0	2.1	1	0	0	1	1	1	1	"Arginyl tRNA synthetase N terminal domain"
Rotamase	PF00639.23	1f8a_B	-	2.4e-23	83.0	0.0	3.4e-23	82.5	0.0	1.2	1	0	0	1	1	1	1	"PPIC-type PPIASE domain"
Rotamase_3	PF13616.8	1f8a_B	-	1.5e-21	77.2	0.0	1.9e-21	76.8	0.0	1.2	1	0	0	1	1	1	1	"PPIC-type PPIASE domain"
WW	PF00397.28	1f8a_B	-	9.8e-16	57.6	0.2	2e-15	56.7	0.2	1.5	1	0	0	1	1	1	1	"WW domain"
Arg_repressor	PF01316.23	1f9n_B	-	7.2e-32	109.0	0.3	1.1e-31	108.5	0.3	1.3	1	0	0	1	1	1	1	"Arginine repressor, DNA binding domain"
Arg_repressor_C	PF02863.20	1f9n_B	-	3e-28	97.6	0.2	5.4e-28	96.7	0.2	1.4	1	0	0	1	1	1	1	"Arginine repressor, C-terminal domain"
PMSR	PF01625.23	1ff3_A	-	3.6e-67	225.4	0.2	4.3e-67	225.2	0.2	1.0	1	0	0	1	1	1	1	"Peptide methionine sulfoxide reductase"
Abhydrolase_2	PF02230.18	1fj2_A	-	3.4e-87	291.9	0.0	3.8e-87	291.8	0.0	1.0	1	0	0	1	1	1	1	"Phospholipase/Carboxylesterase"
Hydrolase_4	PF12146.10	1fj2_A	-	1.1e-06	28.2	0.0	0.0059	16.0	0.0	3.0	2	1	1	3	3	0	0	"Serine aminopeptidase, S33"
Abhydrolase_3	PF07859.15	1fj2_A	-	1.3e-05	25.2	0.1	0.00025	21.1	0.0	2.1	1	1	1	2	2	0	0	"alpha/beta hydrolase fold"
Ribosomal_S5_C	PF03719.17	1fka_E	-	3.9e-28	96.8	0.1	5.4e-28	96.4	0.1	1.2	1	0	0	1	1	1	1	"Ribosomal protein S5, C-terminal domain"
Ribosomal_S5	PF00333.22	1fka_E	-	5.5e-24	84.0	0.2	9.6e-24	83.2	0.2	1.4	1	0	0	1	1	1	1	"Ribosomal protein S5, N-terminal domain"
FAD_binding_3	PF01494.21	1foh_C	-	6.4e-135	450.0	0.0	8.1e-135	449.7	0.0	1.1	1	0	0	1	1	1	1	"FAD binding domain"
Phe_hydrox_dim	PF07976.14	1foh_C	-	5.3e-43	147.0	0.1	9.8e-43	146.2	0.1	1.5	1	0	0	1	1	1	1	"Phenol hydroxylase, C-terminal dimerisation domain"
Thi4	PF01946.19	1foh_C	-	2e-06	27.3	0.0	7.2e-06	25.5	0.0	1.8	2	0	0	2	2	0	0	"Thi4 family"
Y_phosphatase	PF00102.29	1fpr_A	-	3e-77	259.4	0.0	3.6e-77	259.2	0.0	1.1	1	0	0	1	1	1	1	"Protein-tyrosine phosphatase"
HTH_Crp_2	PF13545.8	1ft9_A	-	3.1e-14	52.8	0.0	4.9e-14	52.2	0.0	1.3	1	0	0	1	1	1	1	"Crp-like helix-turn-helix domain"
DEAD	PF00270.31	1fuu_B	-	6.2e-44	149.9	1.5	8.1e-44	149.6	0.3	1.7	2	0	0	2	2	1	1	"DEAD/DEAH box helicase"
Helicase_C	PF00271.33	1fuu_B	-	1.5e-31	109.1	0.4	9.3e-31	106.5	0.1	2.3	3	0	0	3	3	1	1	"Helicase conserved C-terminal domain"
ResIII	PF04851.17	1fuu_B	-	9.4e-08	32.3	0.0	2.2e-07	31.2	0.0	1.6	1	0	0	1	1	1	1	"Type III restriction enzyme, res subunit"
PK_Tyr_Ser-Thr	PF07714.19	1fvr_B	-	4.7e-93	311.3	0.0	5.5e-93	311.1	0.0	1.0	1	0	0	1	1	1	1	"Protein tyrosine and serine/threonine kinase"
Pkinase	PF00069.27	1fvr_B	-	1.6e-45	155.7	0.0	2.4e-45	155.0	0.0	1.3	1	0	0	1	1	1	1	"Protein kinase domain"
APH	PF01636.25	1fvr_B	-	3.1e-05	24.0	0.0	0.018	15.0	0.0	2.4	1	1	1	2	2	0	0	"Phosphotransferase enzyme family"
Lectin_C	PF00059.23	1g1r_A	-	1e-25	90.6	8.8	1.5e-25	90.1	8.8	1.3	1	0	0	1	1	1	1	"Lectin C-type domain"
EGF	PF00008.29	1g1r_A	-	4.7e-05	23.7	8.4	4.7e-05	23.7	8.4	1.9	2	0	0	2	2	1	1	"EGF-like domain"
EGF_2	PF07974.15	1g1r_A	-	0.00014	22.2	9.1	0.00014	22.2	9.1	2.3	4	0	0	4	4	1	1	"EGF-like domain"
Pro_CA	PF00484.21	1g5c_A	-	4.8e-18	66.0	0.4	2.5e-17	63.7	0.4	1.8	1	1	0	1	1	1	1	"Carbonic anhydrase"
bZIP_1	PF00170.23	1gd2_E	-	2.6e-09	37.1	10.6	4.1e-09	36.5	10.6	1.3	1	1	0	1	1	1	1	"bZIP transcription factor"
Cytochrom_D1	PF02239.18	1gjq_A	-	3.7e-167	555.6	0.6	4.3e-167	555.3	0.6	1.0	1	0	0	1	1	1	1	"Cytochrome D1 heme domain"
