QUERY_CLUSTER	SUBJECT_CLUSTER	CLUSTER_SEQUENCE_ID	QUERY_SUBCLUSTERS	SUBJECT_SUBCLUSTERS	DDM_CORRELATION_PEARSON	P-VALUE_PEARSON	DDM_CORRELATION_SPEARMAN	P-VALUE_SPEARMAN	FIXED_SEQ_ID	IG_PAIR	SEQ_ID_RANGE
1jnhB	6ofiH	60.36	"['1jn6B', '1jnhB']"	"['6oedC', '6ofiH']"	0.8891605258092989	0.0	0.7131516027419184	0.0	63.23529411764706	TRUE	"60-70"
1jnhB	1d5iH	66.82	"['1jn6B', '1jnhB']"	"['1axsH', '1d5iH']"	-0.8210736114456973	0.0	-0.6814405877537281	0.0	65.88785046728972	TRUE	"60-70"
1jnhB	5y2mI	53.07	"['1jn6B', '1jnhB']"	"['5y2kA', '5y2mK']"	0.7785453995178256	0.0	0.6282807436418925	0.0	56.52173913043478	TRUE	"50-60"
4mxvF	3eoaH	84.09	"['4mxwW', '4mxvY']"	"['3eobH', '3eo9H']"	0.9892477273900604	0.0	0.8412672376946578	0.0	87.5598086124402	TRUE	"80-90"
4mxvF	3hmwH	72.73	"['4mxwW', '4mxvY']"	"['3hmxH', '3hmwH']"	-0.9611289508350543	0.0	-0.7694760160210672	0.0	74.88151658767772	TRUE	"70-80"
4mxvF	4ki5C	57.08	"['4mxwW', '4mxvY']"	"['4xzuA', '4xzuE']"	0.9741439004381034	0.0	0.7919919468374761	0.0	60.38647342995169	TRUE	"50-60"
4mxvF	5k8aH	66.22	"['4mxwW', '4mxvY']"	"['3ixtA', '4zypK']"	0.9890543444356306	0.0	0.8247039819958252	0.0	68.89952153110048	TRUE	"60-70"
4mxvF	4s1rH	66.09	"['4mxwW', '4mxvY']"	"['4s1rH', '4xnyH']"	0.6686490509059373	0.0	0.509753478478311	0.0	72.16981132075472	TRUE	"60-70"
4mxvF	4eowH	68.86	"['4mxwW', '4mxvY']"	"['4eowH', '5zmjH']"	0.6425614899621279	0.0	0.4701697918065598	0.0	73.45971563981043	TRUE	"60-70"
4mxvF	3ulsH	66.96	"['4mxwW', '4mxvY']"	"['3ulsH', '3ulvD']"	-0.9575344726194586	0.0	-0.8069464185258651	0.0	73.17073170731707	TRUE	"60-70"
4mxvF	6okmL	31.51	"['4mxwW', '4mxvY']"	"['6ogxL', '6okmL']"	-0.7875407133301443	0.0	-0.556146917746108	0.0	34.87179487179487	TRUE	"30-40"
4mxvF	6nisH	71.17	"['4mxwW', '4mxvY']"	"['6nipH', '6nisH']"	-0.9186356024918203	0.0	-0.7123210386455069	0.0	73.80952380952381	TRUE	"70-80"
4mxvF	5ockH	51.8	"['4mxwW', '4mxvY']"	"['5ocyH', '5ocxH']"	-0.9508303611978965	0.0	-0.7671589380670149	0.0	54.63414634146342	TRUE	"50-60"
4mxvF	4lvhB	76.26	"['4mxwW', '4mxvY']"	"['4lvhK', '4uv7H']"	0.874238382470486	0.0	0.7107034912990924	0.0	80.88235294117648	TRUE	"70-80"
4mxvF	3macL	31.67	"['4mxwW', '4mxvY']"	"['3ma9L', '4khxL']"	0.687281561428701	0.0	0.481989318389044	0.0	35.38461538461539	TRUE	"30-40"
4mxvF	4u6hA	58.64	"['4mxwW', '4mxvY']"	"['4u6hA', '4u6hC']"	0.9822043697517086	0.0	0.8238976408243389	0.0	61.72248803827751	TRUE	"50-60"
4mxvF	6p3sA	76.52	"['4mxwW', '4mxvY']"	"['6p3sM', '6p3sI']"	-0.9811691051001293	0.0	-0.825668989809923	0.0	81.95121951219512	TRUE	"70-80"
4mxvF	2dquH	59.82	"['4mxwW', '4mxvY']"	"['2dqtH', '2dtmH']"	-0.9709367218690146	0.0	-0.8498693955264549	0.0	63.76811594202898	TRUE	"50-60"
4mxvF	6c6xE	69.41	"['4mxwW', '4mxvY']"	"['6c6xC', '6c6yH']"	0.9570524069786381	0.0	0.7935399441567796	0.0	71.77033492822966	TRUE	"60-70"
4mxvF	6anpH	69.03	"['4mxwW', '4mxvY']"	"['6anpB', '6ao0H']"	0.4504065300540634	0.0	0.3886536866492968	0.0	77.24867724867724	TRUE	"60-70"
4mxvF	2virB	56.5	"['4mxwW', '4mxvY']"	"['2visB', '1gigH']"	-0.9580902508994473	0.0	-0.7853709538158808	0.0	60.28708133971292	TRUE	"50-60"
4mxvF	3skjH	78.17	"['4mxwW', '4mxvY']"	"['3skjI', '3skjH']"	0.9568970174186299	0.0	0.7927241485167695	0.0	83.9622641509434	TRUE	"70-80"
4mxvF	4fqhA	70.72	"['4mxwW', '4mxvY']"	"['4fqvJ', '6cnvH']"	-0.9695094231278115	0.0	-0.7995261333615531	0.0	73.68421052631578	TRUE	"70-80"
4mxvF	5t4zH	60.35	"['4mxwW', '4mxvY']"	"['5iieH', '5iieA']"	0.9829348466396121	0.0	0.8533217618879841	0.0	63.86138613861386	TRUE	"60-70"
4mxvF	4gsdH	72.57	"['4mxwW', '4mxvY']"	"['4xnqH', '4gsdH']"	-0.9600178012827402	0.0	-0.7916821731945147	0.0	77.40384615384616	TRUE	"70-80"
4mxvF	6b0wH	79.02	"['4mxwW', '4mxvY']"	"['6b0sH', '6b0wH']"	0.9699255622595337	0.0	0.813803913222703	0.0	83.01886792452831	TRUE	"70-80"
4mxvF	4qhlA	68.16	"['4mxwW', '4mxvY']"	"['4qhmE', '4qhlA']"	-0.952259358155702	0.0	-0.7579089649205849	0.0	71.56398104265402	TRUE	"60-70"
4mxvF	5bk0B	77.23	"['4mxwW', '4mxvY']"	"['6azxC', '5bk0B']"	0.9672283559362808	0.0	0.7806786613127337	0.0	81.46341463414633	TRUE	"70-80"
4mxvF	6glwH	79.02	"['4mxwW', '4mxvY']"	"['6glwH', '6glwC']"	0.9871437245360812	0.0	0.8546120120074372	0.0	83.01886792452831	TRUE	"70-80"
4mxvF	1jpsH	84.02	"['4mxwW', '4mxvY']"	"['1pg7I', '1jpsH']"	-0.9858805458074466	0.0	-0.870551092286331	0.0	86.66666666666667	TRUE	"80-90"
4mxvF	2zuqC	63.64	"['4mxwW', '4mxvY']"	"['2zuqF', '2zuqC']"	-0.9740382195952823	0.0	-0.8014381072923066	0.0	67.82178217821783	TRUE	"60-70"
4mxvF	4kxzH	71.1	"['4mxwW', '4mxvY']"	"['3eo1B', '4kxzH']"	-0.9362859487403897	0.0	-0.7676524039429272	0.0	74.28571428571429	TRUE	"70-80"
4mxvF	3mj8H	59.55	"['4mxwW', '4mxvY']"	"['3mj8H', '3mj9H']"	-0.9871892573926186	0.0	-0.8376754145562539	0.0	62.980769230769226	TRUE	"50-60"
4mxvF	4d9lJ	72.97	"['4mxwW', '4mxvY']"	"['4d9lJ', '4d9lH']"	-0.861577882557363	0.0	-0.6827740426550393	0.0	75.94339622641509	TRUE	"70-80"
4mxvF	5mesH	65.91	"['4mxwW', '4mxvY']"	"['6qb6H', '5mesH']"	-0.9638429454363129	0.0	-0.8112304838362119	0.0	70.44334975369459	TRUE	"60-70"
4mxvF	7c94E	64.13	"['4mxwW', '4mxvY']"	"['7c95B', '7c94E']"	0.9806142151850676	0.0	0.8161140670521125	0.0	67.94258373205741	TRUE	"60-70"
4mxvF	4jj5B	58.37	"['4mxwW', '4mxvY']"	"['4isvB', '4jj5B']"	0.9556992798743272	0.0	0.7647534750909155	0.0	61.76470588235294	TRUE	"50-60"
4mxvF	4ij3C	55.91	"['4mxwW', '4mxvY']"	"['5d96J', '4ij3C']"	0.9614720251825912	0.0	0.7796109511193163	0.0	61.6504854368932	TRUE	"50-60"
4mxvF	5lspH	73.3	"['4mxwW', '4mxvY']"	"['5lspS', '5lspH']"	0.9840994767990124	0.0	0.8201633767645503	0.0	75.82938388625593	TRUE	"70-80"
4mxvF	3nz8A	59.09	"['4mxwW', '4mxvY']"	"['3nz8H', '3nz8A']"	-0.9785565015460137	0.0	-0.8473593828611543	0.0	62.019230769230774	TRUE	"50-60"
4mxvF	6qkdJ	73.45	"['4mxwW', '4mxvY']"	"['6qkdI', '6qkdJ']"	-0.03855398184939718	4.029005794840534e-16	0.020312420877868904	1.817204996996163e-05	77.72511848341233	TRUE	"70-80"
4mxvF	5az2H	60.73	"['4mxwW', '4mxvY']"	"['5az2H', '5e8dH']"	0.9532164782856543	0.0	0.7754468278622246	0.0	63.1578947368421	TRUE	"60-70"
4mxvF	6wj1H	65.79	"['4mxwW', '4mxvY']"	"['6wj1G', '6wj1H']"	-0.9877619382509516	0.0	-0.8532535509113602	0.0	70.28301886792453	TRUE	"60-70"
4mxvF	1d5iH	73.76	"['4mxwW', '4mxvY']"	"['1axsH', '1d5iH']"	0.9769751625220366	0.0	0.8326801853139059	0.0	76.88679245283019	TRUE	"70-80"
4mxvF	6okmH	76.71	"['4mxwW', '4mxvY']"	"['6ogxH', '6okmH']"	0.9500128644746044	0.0	0.773711257464027	0.0	80.09708737864078	TRUE	"70-80"
4mxvF	1s78D	84.23	"['4mxwW', '4mxvY']"	"['4llwA', '1s78F']"	0.9302156426768937	0.0	0.7521498449177618	0.0	88.03827751196172	TRUE	"80-90"
4mxvF	2oz4L	27.4	"['4mxwW', '4mxvY']"	"['3fb6B', '6ionL']"	-0.6785660278655143	0.0	-0.47559519755397894	0.0	30.05181347150259	TRUE	"20-30"
4mxvF	6a77H	61.71	"['4mxwW', '4mxvY']"	"['6a76H', '6a77H']"	-0.9755779999168799	0.0	-0.8337110611931207	0.0	65.07177033492823	TRUE	"60-70"
4mxvF	1knoB	63.64	"['4mxwW', '4mxvY']"	"['2gfbJ', '1knoB']"	0.5692314581344596	0.0	0.7095413176719189	0.0	66.66666666666666	TRUE	"60-70"
4mxvF	1a4kB	72.6	"['4mxwW', '4mxvY']"	"['1a4jB', '1a4kH']"	-0.9669311995078124	0.0	-0.7773100608781734	0.0	74.64114832535886	TRUE	"70-80"
4mxvF	5xhvH	82.06	"['4mxwW', '4mxvY']"	"['5xhvP', '5xhvH']"	0.9696735268451501	0.0	0.8091604808110587	0.0	86.66666666666667	TRUE	"80-90"
4mxvF	4risH	73.13	"['4mxwW', '4mxvY']"	"['4hpoH', '4risH']"	-0.8190162762677421	0.0	-0.6720658205392728	0.0	77.03349282296651	TRUE	"70-80"
4mxvF	6wizH	65.22	"['4mxwW', '4mxvY']"	"['6wizH', '6wiyH']"	-0.7477901153801265	0.0	-0.5504441491916932	0.0	70.81339712918661	TRUE	"60-70"
4mxvF	4yhmH	77.27	"['4mxwW', '4mxvY']"	"['4ygvF', '4yhlH']"	0.9672202059881492	0.0	0.8028259748872172	0.0	79.71698113207547	TRUE	"70-80"
4mxvF	4lluB	30.67	"['4mxwW', '4mxvY']"	"['4lluD', '4llwD']"	-0.6425347591074212	0.0	-0.4235615810282619	0.0	35.9375	TRUE	"30-40"
4mxvF	3g5zB	54.55	"['4mxwW', '4mxvY']"	"['3g5zB', '3g5xB']"	0.967221595399512	0.0	0.8065026510881961	0.0	57.971014492753625	TRUE	"50-60"
4mxvF	3l95B	85.45	"['4mxwW', '4mxvY']"	"['3l95B', '3l95H']"	-0.978283704791219	0.0	-0.8035013144538037	0.0	88.15165876777252	TRUE	"80-90"
4mxvF	6d9gA	57.66	"['4mxwW', '4mxvY']"	"['6d9gA', '6d9gC']"	0.9676369634832271	0.0	0.8159884580577175	0.0	60.66350710900474	TRUE	"50-60"
4mxvF	1b6dA	29.68	"['4mxwW', '4mxvY']"	"['1b6dA', '1b6dB']"	-0.9444097052329373	0.0	-0.7898921450225374	0.0	32.82051282051282	TRUE	"20-30"
4mxvF	1i9rL	29.41	"['4mxwW', '4mxvY']"	"['1i9rM', '6bjzL']"	0.8314541620268673	0.0	0.6291734451660675	0.0	32.6530612244898	TRUE	"20-30"
4mxvF	4odvH	59.46	"['4mxwW', '4mxvY']"	"['4odvH', '4odwH']"	0.7894439745893774	0.0	0.6918041279805571	0.0	62.980769230769226	TRUE	"50-60"
4mxvF	3eobL	30.59	"['4mxwW', '4mxvY']"	"['3eobA', '3eo9L']"	-0.7884118807565891	0.0	-0.5334619802940677	0.0	33.84615384615385	TRUE	"30-40"
4mxvF	6kvfH	72.73	"['4mxwW', '4mxvY']"	"['6kvfH', '6kvfA']"	-0.9050452235300295	0.0	-0.6902215280067378	0.0	75.24752475247524	TRUE	"70-80"
4mxvF	5w1gH	75.57	"['4mxwW', '4mxvY']"	"['5w1mF', '5w1gH']"	-0.9875261748926453	0.0	-0.8267980062277717	0.0	78.67298578199052	TRUE	"70-80"
4mxvF	2v7hH	58.64	"['4mxwW', '4mxvY']"	"['2v7hH', '2v7hB']"	-0.9642077319337822	0.0	-0.7875929602909784	0.0	60.952380952380956	TRUE	"50-60"
4mxvF	3s62H	62.1	"['4mxwW', '4mxvY']"	"['1z3gH', '3s62H']"	0.9435947360611577	0.0	0.7854394291836011	0.0	66.34146341463415	TRUE	"60-70"
4mxvF	3lmjH	71.24	"['4mxwW', '4mxvY']"	"['3lqaH', '3lmjH']"	-0.965946109527654	0.0	-0.8185924982258659	0.0	75.35545023696683	TRUE	"70-80"
4mxvF	6bliA	69.43	"['4mxwW', '4mxvY']"	"['6bliG', '6bliA']"	-0.9849237918558648	0.0	-0.8324681176246326	0.0	75.11961722488039	TRUE	"60-70"
4mxvF	3g6dH	81.78	"['4mxwW', '4mxvY']"	"['3g6aH', '3g6dH']"	-0.9903672688506127	0.0	-0.8448913522088771	0.0	87.08133971291866	TRUE	"80-90"
4mxvF	6dlbH	70.93	"['4mxwW', '4mxvY']"	"['4hkxA', '4hk3J']"	-0.9176945513389548	0.0	-0.731679743144113	0.0	73.42995169082126	TRUE	"70-80"
4mxvF	4dagL	30.8	"['4mxwW', '4mxvY']"	"['6iebF', '5y2kH']"	-0.9147080340441366	0.0	-0.7414997347275321	0.0	35.483870967741936	TRUE	"30-40"
4mxvF	3mo1B	69.86	"['4mxwW', '4mxvY']"	"['3mnvB', '3mo1B']"	-0.9823870757042663	0.0	-0.8223033252383186	0.0	73.30097087378641	TRUE	"60-70"
4mxvF	5lspL	29.22	"['4mxwW', '4mxvY']"	"['5lspT', '5lspL']"	-0.8462499661991955	0.0	-0.6168632668872217	0.0	32.30769230769231	TRUE	"20-30"
4mxvF	6bjzH	76.26	"['4mxwW', '4mxvY']"	"['1i9rH', '6bjzH']"	-0.9879183888995997	0.0	-0.8527519703327634	0.0	78.30188679245283	TRUE	"70-80"
4mxvF	5y2mI	76.42	"['4mxwW', '4mxvY']"	"['5y2kA', '5y2mK']"	-0.9112025088734717	0.0	-0.7664751444303753	0.0	81.99052132701422	TRUE	"70-80"
4mxvF	6vl8E	72.15	"['4mxwW', '4mxvY']"	"['6vl9H', '6vl8A']"	-0.9218702709486695	0.0	-0.7146223081805099	0.0	75.24271844660194	TRUE	"70-80"
4mxvF	1hklH	70.78	"['4mxwW', '4mxvY']"	"['1hklH', '1aj7H']"	-0.9804599463336174	0.0	-0.8343859846535727	0.0	74.03846153846155	TRUE	"70-80"
4mxvF	5e94B	67.56	"['4mxwW', '4mxvY']"	"['5e94B', '5e94D']"	-0.9663406588549543	0.0	-0.8177093762730505	0.0	72.03791469194313	TRUE	"60-70"
4mxvF	1jnhB	59.55	"['4mxwW', '4mxvY']"	"['1jn6B', '1jnhB']"	-0.8956446155331507	0.0	-0.7336303650915553	0.0	61.951219512195124	TRUE	"50-60"
4mxvF	2gjzH	56.25	"['4mxwW', '4mxvY']"	"['2gjzB', '2gk0B']"	-0.9786706473153342	0.0	-0.8138340390751506	0.0	60.97560975609756	TRUE	"50-60"
4mxvF	3b2uN	72.2	"['4mxwW', '4mxvY']"	"['6b3sF', '3b2vH']"	-0.9819573328863068	0.0	-0.8375171396513637	0.0	75.71428571428571	TRUE	"70-80"
4mxvF	3eotL	27.27	"['4mxwW', '4mxvY']"	"['2b2xL', '3eotL']"	0.17673425169712922	2.3070961911101162e-256	0.4888473800550197	0.0	31.770833333333332	TRUE	"20-30"
4mxvF	6db5H	72.12	"['4mxwW', '4mxvY']"	"['6db5I', '6db5H']"	-0.9845808057856988	0.0	-0.8532529686769855	0.0	76.41509433962264	TRUE	"70-80"
4mxvF	1cicD	58.45	"['4mxwW', '4mxvY']"	"['1fdlH', '1cicD']"	-0.9730859685507578	0.0	-0.8173857016042281	0.0	61.24401913875598	TRUE	"50-60"
4mxvF	3so3B	33.33	"['4mxwW', '4mxvY']"	"['4dn4L', '3f12C']"	-0.45612879218503055	0.0	-0.27561367507059803	0.0	35.8974358974359	TRUE	"30-40"
4mxvF	6ofiH	73.54	"['4mxwW', '4mxvY']"	"['6oedC', '6ofiH']"	-0.967576861869489	0.0	-0.8056298194497156	0.0	77.29468599033817	TRUE	"70-80"
4mxvF	6mubH	69.2	"['4mxwW', '4mxvY']"	"['3ob0H', '3oauH']"	-0.5769448946831914	0.0	-0.4958310655062068	0.0	72.64150943396226	TRUE	"60-70"
4mxvF	2f58H	57.02	"['4mxwW', '4mxvY']"	"['3f58H', '1f58H']"	0.9711164419432439	0.0	0.8285380655792183	0.0	61.904761904761905	TRUE	"50-60"
4mxvF	3dggD	63.64	"['4mxwW', '4mxvY']"	"['3dggB', '3dggD']"	0.9637234342949853	0.0	0.8222074403521603	0.0	66.82692307692307	TRUE	"60-70"
1jnhB	6d9gA	75.0	"['1jn6B', '1jnhB']"	"['6d9gA', '6d9gC']"	-0.8323768353426954	0.0	-0.7102710000184222	0.0	75.23364485981308	TRUE	"70-80"
1jnhB	4ij3C	68.78	"['1jn6B', '1jnhB']"	"['5d96J', '4ij3C']"	-0.8726473512067952	0.0	-0.6801209996602762	0.0	67.78846153846155	TRUE	"60-70"
1jnhB	6umxH	56.19	"['1jn6B', '1jnhB']"	"['6umxH', '6umxh']"	0.6714524750733745	0.0	0.545222286250211	0.0	58.21596244131455	TRUE	"50-60"
1jnhB	6bliA	52.4	"['1jn6B', '1jnhB']"	"['6bliG', '6bliA']"	0.9124560098246834	0.0	0.7326653647034379	0.0	56.372549019607845	TRUE	"50-60"
1jnhB	3eobL	25.79	"['1jn6B', '1jnhB']"	"['3eobA', '3eo9L']"	0.5201975905421953	0.0	0.3592647095687109	0.0	28.934010152284262	TRUE	"20-30"
1jnhB	2v7hH	77.52	"['1jn6B', '1jnhB']"	"['2v7hH', '2v7hB']"	0.8725870783811549	0.0	0.6999180883295754	0.0	76.66666666666667	TRUE	"70-80"
1jnhB	6meiH	57.52	"['1jn6B', '1jnhB']"	"['6meiH', '6medC']"	0.8419057276057647	0.0	0.6859010991364534	0.0	59.624413145539904	TRUE	"50-60"
1jnhB	6ammL	25.45	"['1jn6B', '1jnhB']"	"['6anpA', '6ao0L']"	-0.5440661134659297	0.0	-0.5161678335246142	0.0	28.28282828282828	TRUE	"20-30"
1jnhB	6cbjH	55.95	"['1jn6B', '1jnhB']"	"['6cbjH', '5tplH']"	-0.9008785121287237	0.0	-0.7195300811992476	0.0	59.90338164251207	TRUE	"50-60"
4mxvF	5itbH	79.19	"['4mxwW', '4mxvY']"	"['5j3dC', '5itbH']"	0.9448987871794503	0.0	0.764346503478947	0.0	84.8780487804878	TRUE	"70-80"
4mxvF	1ynlH	57.8	"['4mxwW', '4mxvY']"	"['1cgsH', '2cgrH']"	-0.9340568946607382	0.0	-0.7749437896049451	0.0	60.38647342995169	TRUE	"50-60"
4mxvF	6phcA	78.32	"['4mxwW', '4mxvY']"	"['6phhA', '6phgA']"	-0.9577567459923731	0.0	-0.7870293989766022	0.0	83.01886792452831	TRUE	"70-80"
4mxvF	3u0wL	28.18	"['4mxwW', '4mxvY']"	"['3u0wL', '6faxL']"	0.8174913835455834	0.0	0.6126013903995515	0.0	31.443298969072163	TRUE	"20-30"
4mxvF	5vh4H	75.57	"['4mxwW', '4mxvY']"	"['6ugvA', '6uguH']"	0.9910621933873817	0.0	0.8455097591562021	0.0	78.30188679245283	TRUE	"70-80"
4mxvF	1bbdH	57.53	"['4mxwW', '4mxvY']"	"['1a3rH', '1bbdH']"	-0.9275505803504166	0.0	-0.7806306143043783	0.0	59.80861244019139	TRUE	"50-60"
4n6hA	5ungB	49.28	"['4rwdA', '4n6hA']"	"['5unfB', '5unhB']"	-0.07619435171714167	4.048700362905127e-166	0.019827872732908584	9.42402935011234e-13	53.333333333333336	FALSE	"40-50"
4nlgA	4f4xA	80.39	"['3bq1A', '4nlgA']"	"['4f4wB', '4f50A']"	-0.8624868853914972	0.0	-0.6338700865541934	0.0	81.25	FALSE	"80-90"
4nrxH	6db5H	77.78	"['4nrxA', '4nrzH']"	"['6db5I', '6db5H']"	-0.9675446264844538	0.0	-0.8157407613222125	0.0	78.73303167420815	TRUE	"70-80"
4nrxH	2zuqC	57.58	"['4nrxA', '4nrzH']"	"['2zuqF', '2zuqC']"	-0.96316920887776	0.0	-0.7837373644676671	0.0	60.97560975609756	TRUE	"50-60"
4nrxH	3s62H	55.79	"['4nrxA', '4nrzH']"	"['1z3gH', '3s62H']"	0.945169407963159	0.0	0.8047354538325108	0.0	61.53846153846154	TRUE	"50-60"
4nrxH	5mesH	54.94	"['4nrxA', '4nrzH']"	"['6qb6H', '5mesH']"	-0.96979891376832	0.0	-0.7984032534960087	0.0	60.679611650485434	TRUE	"50-60"
4nrxH	3n9gL	31.25	"['4nrxA', '4nrzH']"	"['4wuuD', '3n9gL']"	0.6480043707865678	0.0	0.498973241958145	0.0	34.883720930232556	TRUE	"30-40"
4nrxH	6wizH	67.36	"['4nrxA', '4nrzH']"	"['6wizH', '6wiyH']"	-0.761664584907884	0.0	-0.5729293689641242	0.0	70.83333333333334	TRUE	"60-70"
4nrxH	3mj8H	54.94	"['4nrxA', '4nrzH']"	"['3mj8H', '3mj9H']"	-0.9862648575938238	0.0	-0.8231656900728075	0.0	60.679611650485434	TRUE	"50-60"
4nrxH	6grzA	30.93	"['4nrxA', '4nrzH']"	"['6grzB', '6grzA']"	-0.8888850809764516	0.0	-0.6874422879555749	0.0	34.80392156862745	TRUE	"30-40"
