CLUSTER_REP,SUBCLUSTER_REP,SUBCLUSTER_MEMBERS
2qz5B,2qz5A,"['2qz5B']"
6evjB,6fhhB,"['6evjE', '6evjB', '6fhiB', '4wsbB', '6evkB', '5m3hB']"
5jvgU,5jvgU,"[]"
3fp3A,3lcaA,"['3fp3A']"
2p1oB,2p1oB,"['2p1pB', '3c6oB', '2p1nB', '2p1mB', '3c6pB', '3c6nB', '2p1nE', '2p1qB']"
2qmmA,2qmmA,"['2qmmB']"
3o24A,3o2kA,"['3o24A']"
1z0dA,1z07A,"['1z0dC', '4kyiH', '4kyiF', '4kyiD', '1z0dA', '4kyiB', '1huqA']"
2nyzA,2nyzB,"['2nyzA', '2nz1B', '2nz1A', '1mkfB', '2nz1X', '1ml0A', '1mkfA']"
3nyoA,3nynB,"['3nynA', '3nyoA', '3nyoB']"
2wcqA,2wcqA,"['2wcrA', '2wcrB']"
2ha9B,2ha9A,"['2ha9B']"
4z5rJ,4z5rP,"['4z5rL', '4z5rJ', '4z5rT', '4z5rR', '4z5rA', '4z5rV']"
4x0lC,6tb2C,"['4x0lC', '5hu6C']"
5hbnA,2y1rA,"['5hbnA', '2y1rG', '2y1rD', '2y1rC', '2y1rB', '2y1rE', '2y1qA', '2y1rH']"
3cbhA,4ax7D,"['1qk2B', '4ax7C', '1cb2A', '4ax6B', '1qjwB', '1hgwB', '1qjwA', '4ax6A', '1hgyA', '1hgyB', '4au0A', '3cbhA', '1cb2B', '1qk0A', '1qk2A', '1hgwA', '4ax7A', '4au0B', '4ax7B', '1qk0B']"
4ypoA,4ypoA,"['4ypoB']"
2okcB,2okcA,"['2okcB']"
5yoyA,1tnfA,"['5m2iD', '3it8C', '5mu8r', '2tunB', '3wd5A', '5mu8w', '3it8H', '5mu8u', '5mu8j', '2zpxA', '1a8mA', '5mu8K', '5mu8Y', '4g3yC', '5mu8H', '5tswE', '2tunE', '5mu8o', '5tswC', '2e7aA', '5mu8T', '5m2iC', '5m2mI', '4tsvA', '6rmjA', '1a8mB', '5m2mB', '2tunC', '4twtC', '2az5B', '1a8mC', '5mu8m', '2e7aB', '2tunD', '2zjcC', '5mu8P', '5mu8b', '5m2mM', '5mu8a', '5mu8X', '5mu8v', '5mu8B', '5mu8g', '4twtA', '5mu8Q', '5tswB', '5mu8D', '2zjcA', '5tswA', '5m2mG', '3l9jT', '5m2iA', '5mu8O', '5m2iB', '5mu8S', '2zpxC', '5tswD', '5mu8G', '2az5D', '5mu8i', '3it8A', '2zpxB', '5mu8e', '3it8G', '3it8B', '2tunA', '6oozA', '1tnfB', '2e7aC', '5m2mA', '5mu8M', '3it8I', '6op0A', '2tunF', '5mu8n', '1tnfC', '6oozB', '5m2mC', '5mu8U', '6rmjB', '5tswF', '5mu8q', '5mu8s', '5m2iE', '5m2iF', '2zjcB', '5mu8c', '5mu8C']"
1ijdB,1ijdD,"['1ijdB', '1ijdF']"
5z08A,5z08A,"['5z08B', '5z07A']"
2ox5Z,2oxhA,"['2oxgZ', '2oxhE', '2oxhZ', '2ox5Z', '2oxgC', '2oxhC', '2ox5A', '2ox5E', '2oxgE', '2ox5C', '2oxgA']"
5tinB,5vdiA,"['5tioC', '5vdiE', '5tinE', '5cfbD', '5cfbB', '5vdhC', '5vdiB', '5vdhA', '5vdiD', '5vdhD', '5cfbC', '5tinA', '5tioB', '5tinD', '5tioA', '5vdhE', '5vdiC', '5tinB', '5tioD', '5cfbA', '5cfbE', '5tioE', '5vdhB', '5tinC']"
4lrtB,4lrsB,"['4lrtB', '4lrtD']"
1rtwB,1rtwB,"['1rtwA', '1rtwC', '1rtwD']"
2d0eA,5de9B,"['1se6B', '2d09A', '1s1fA', '3tzoA', '1t93A', '1se6A', '2d0eA', '5de9A', '3tzoB']"
5kejA,5kejA,"['5kejB', '5g5fA', '5g5eA']"
3fedA,3ff3A,"['3fedA', '3feeA', '3fecA']"
4twbA,4twbD,"['4twbE', '4twbC', '4twbF', '4twbB', '4twbA']"
4rk9A,4rk9A,"['4rk9B']"
6a57A,6a57A,"[]"
3etbJ,3inoA,"['3inoB', '3etbJ', '3etbK', '3etbM', '3etbL']"
1ryxA,1ovtA,"['2d3iA', '1n04A']"
1ryxA,1aivA,"['1ryxA']"
3wziA,3wziA,"['3wzgA', '3wziB', '3wzgB']"
6ot7D,6ot4C,"['6ot4B', '6ot7C', '6ot7D', '6ot7B', '6ot7A', '6ot4A', '6ot9D', '6ot9C', '6ot4D', '6ot8A', '6ot9A', '6ot9B']"
5mymC,5nimA,"[]"
4wysA,4wysD,"['5f0vA', '5f0vB', '4wysA', '5f0vD', '4wysB', '4wysC', '5f38B', '5f0vC', '5f38D', '5f38C', '5f38A']"
4h0lB,4h13B,"['2e75B', '2e74B', '4h0lB', '4i7zB', '2e76B', '4pv1B']"
2o6yA,2o7dB,"['2o7eE', '2o6yC', '2o78E', '2o7bG', '2o7bC', '2o7fF', '2o7fD', '2o78B', '2o7dG', '2o7fE', '2o7eA', '2o78H', '2o7fB', '2o7eD', '2o78F', '2o7bA', '2o7dD', '2o7bD', '2o7bB', '2o6yE', '2o6yD', '2o78A', '2o7dE', '2o7eB', '2o6yH', '2o7dF', '2o7eF', '2o7bE', '2o7fH', '2o7bH', '2o7eC', '2o78C', '2o7fA', '2o7dC', '2o78G', '2o7dA', '2o7eG', '2o6yG', '2o6yA', '2o6yF', '2o7fG', '2o6yB', '2o7fC', '2o78D', '2o7bF', '2o7eH', '2o7dH']"
3w6jF,3w6jC,"['3w6jF']"
3w6jF,3w6jB,"[]"
2dgdA,2dgdB,"['2dgdD', '2dgdA', '2dgdC']"
3zukA,3zukB,"['3zukA']"
4rs3A,5hkoA,"['4rs3A']"
1v59A,1v59B,"['1jehB', '1v59A', '1jehA']"
3rybA,3ftoA,"['3drkA', '3driA', '3drjA', '3drhA']"
3rybA,3drgA,"['3rybA', '3drfA', '3ryaA']"
6ow0A,6ow0A,"['6ovqA', '6ow0B']"
6cwtA,6cwtA,"[]"
2gbfA,2gbgA,"['2gbiA', '2i3zB', '4ffvB', '4ffwA', '2gbfB', '5vtaC', '4ffwB', '2oaeB', '5vtaD', '2oaeA', '2gbiB', '2i3zA', '5vtaB', '2gbfA', '5vtaA', '4ffvA', '2gbgB', '2gbcB', '2gbcA']"
4r0zA,4r10A,"['4r11A', '4r11C']"
6w1kA,6w1kC,"['6w1kA', '6w1kB', '6w1kD']"
3dnhA,3dnhB,"['3dnhA']"
1xwvA,2f08C,"['1xwvB', '1xwvA', '2f08D', '2f08B', '2f08A']"
2vd3A,2vd3B,"['2vd3A']"
2dvmA,2dvmD,"['1ww8B', '2dvmB', '2dvmA', '2dvmC', '1ww8A']"
3ei3B,3ei2B,"['4a0lB', '4a0bB', '4a0kD', '4a09B', '3ei3B', '4a08B', '4a0lD', '4a0bD', '3ei1B', '4a0aB']"
4azjA,2bigB,"['2bi5A', '2bieB', '2bi9A', '2bieA', '2bi5B', '2bi9B', '2bhxA', '1w23A', '2bi1B', '4azkA', '4azjA', '2biaB', '2bi3A', '2biaA', '1w23B', '4azkB', '4azjB', '2bhxB', '2bi2B', '2bigA', '2bi3B', '2bi1A', '2bi2A']"
6pt8B,3l0zA,"['6pt8B', '6pu6A', '3l0zB', '3l0zC']"
3duwA,3duwA,"['3dulB', '3dulA', '3duwB']"
4xq1A,4xpxA,"['4xpyA', '4xpwA', '4xq1A']"
4m24A,4ee9A,"['4m24A', '5ljfA', '5ljfB']"
2jlqA,2jlsA,"['2jluA', '2jlvA', '2jlxB', '2jlqA', '5xc7A', '5xc6A', '2jlyB', '2jlzB', '2jluB', '2jlyA', '5xc6B', '2jlwA', '2jlwB', '2jlrA', '2jlzA', '2jlvB', '2jlxA']"
6dkjH,6dkjA,"['6dkjH']"
1y7pB,1y7pA,"['1y7pB', '1y7pC']"
3t58B,3t59D,"['3t58B', '3t58A', '3t59C', '3t59B', '3t58C', '3t58D', '3t59A']"
3ucqA,3ucqA,"['3uerA']"
1bxmA,1lriA,"['1beoA', '1bxmA']"
5m98A,5ll1B,"['5m98E', '5ll1D', '5ll1C', '5m98F', '5ll1A', '5ll1F', '5m98H', '5m98B', '5ll1H', '5m98C', '5m98D', '5m98G', '5ll1E', '5ll1G', '5m98A']"
3k44A,3k44A,"['3k44C', '3k44D', '5fgpA', '3k44B']"
5vpwB,5vpwB,"['5vq3D', '4wesD', '1mioB', '1mioD', '5vpwD', '4wesB', '4wn9D', '5vq3B', '4wn9B']"
5bq2A,5bq2D,"['5bq2A', '5bq2B', '5bq2C']"
3hh7A,3hh7A,"['3hh7B']"
2hnfA,2hnfA,"['2ho0A']"
3qy1B,3qy1A,"['3qy1B']"
5ujjA,1r6tA,"['5ujjA']"
1fc3A,1fc3C,"['1fc3A']"
5yd0B,5yd0B,"[]"
3ezhA,3ezhB,"['3ezhA']"
2huuA,2huuB,"['2hufB', '2hufA', '2huiB', '2huiA', '2huuA']"
6feaC,6feaC,"['5n6yC', '5n6yF', '6feaF']"
3n70A,3n70E,"['3n70A', '3n70C']"
3pqsA,3pqsA,"['4o3zA', '4o49A', '4o3yA']"
5nrgM,4wceM,"['5hkvM', '4wf9M', '4wfbM', '5hl7M', '4wfaM', '5nrgM']"
1vhxA,1vhxB,"['1vhxA']"
3e2vA,3e2vB,"['3e2vA']"
4pqhA,4pqhA,"[]"
5dsvB,5lf0F,"['3unhF', '5dsvH', '5lf3F', '5dsvC', '3unbT', '5lf6F', '5dsvG', '3unhT', '5lf3T', '6e5bF', '4r67i', '5dsvE', '5lf4T', '3unbh', '3unbF', '5lf4F', '4r67U', '5dsvN', '5le5T', '5lezF', '1iruG', '5lf0T', '5leyT', '5dsvF', '5dsvI', '3unev', '1iruU', '4r67G', '3unfF', '5lezT', '5dsvB', '4r67w', '5dsvA', '5dsvM', '3uneh', '3unfT', '5dsvL', '5lf6T', '5lf1F', '5lf7F', '4r3oU', '5lf1T', '5le5F', '4r3oG', '5lexT', '5leyF', '5dsvK', '5lf7T', '3uneT', '6e5bT', '5dsvJ', '3uneF', '3unbv', '5dsvD', '5lexF']"
5b6sA,5b6tB,"['5b6sA', '5b6tA', '5b6sB']"
5xmfA,5xmmA,"['5xmfA']"
3nf5A,3nf5B,"['3nf5A']"
2nldA,2nlfB,"['2nlcD', '2nleB', '2nlbD', '2nlqD', '2nldA', '2nlcC', '2nlgA', '2nlpB', '2nlfA', '2nldB', '2nlhB', '2nlgD', '2nlqC', '2nlhD', '2nlbC', '2nlqA', '2nlbB', '2nlbA', '2nlcB', '2nlpD', '2nlpA', '2nlgB', '2nlcA', '2nlsA', '2nlhA', '2nlpC', '2nleA', '2nlgC', '2nlhC', '2nlqB']"
4hw5A,4hw5B,"['4hwjA', '4hw5A']"
4e9zA,4ea0A,"['3ae0B', '3nprA', '3vjdA', '2zcsA', '3nriA', '3w7fA', '3vjeB', '4e9zA', '3lgzB', '3ae0A', '4f6vA', '4e9uA', '4f6xA', '3tfnA', '3adzA', '2zy1A', '3vjeA', '2zcoA', '4ea2A', '2zcqA', '4ea1A', '2zcrA', '3acyA', '3acxA', '3w7fB', '3acwA', '3tfvA', '4ea0B', '3tfpA']"
5fhbH,5fhcA,"['5fhbH']"
4stdA,7stdB,"['5stdB', '6stdB', '6stdA', '4stdB', '3stdA', '4stdA', '7stdC', '5stdA', '1stdA', '2stdA', '6stdC', '3stdB', '4stdC', '5stdC', '7stdA', '3stdC']"
1w6jA,1w6kA,"['1w6jA']"
3voqA,3voqB,"['3voqA']"
5l45B,5l3zA,"['5l45B', '5l4lA', '5l40A', '5l45A']"
2o42A,2jbxA,"['2o42A']"
1u6zB,2floA,"['1u6zA', '2floD', '2floB', '2floC', '1u6zB']"
4h5gA,4h5fD,"['4h5fB', '4h5fA', '4h5gA', '4h5gB', '4h5fC']"
1f0nA,1f0nA,"['1f0pA']"
3bemB,3bemB,"['3bemA']"
2lh5A,1lh1A,"['1lh2A', '2lh6A', '2lh3A', '2lh7A', '1gdlA', '2lh5A', '1lh5A', '2gdmA', '1lh3A', '1gdiA', '1lh6A', '1lh7A', '2lh1A', '1gdkA', '1gdjA', '2lh2A']"
4yjhA,5wx2H,"['5wwvE', '4yjdA', '1daoF', '1ddoE', '5wx2A', '5wwvG', '4yjfA', '5wwvF', '5wx2E', '1ddoD', '4yjgB', '4yjfB', '5wwvC', '4yjdB', '1daoA', '1kifC', '4yjhA', '4yjhB', '1daoB', '1ve9A', '1an9A', '1kifF', '1an9B', '1ddoA', '1kifD', '5wx2F', '1eviB', '1ddoH', '1kifE', '5wx2D', '5wwvD', '4yjgA', '5wx2B', '1ddoC', '1eviA', '5wx2G', '1daoG', '5wwvB', '3wgtB', '1ve9B', '1ddoG', '3wgtA', '1daoE', '5wwvH', '1kifB', '1daoD', '1kifG', '5wwvA', '1kifA', '1ddoF', '1daoC', '1kifH', '1ddoB', '1daoH', '5wx2C']"
4eijA,4eijB,"[]"
4eijA,4eijA,"[]"
2vqzD,2vqzA,"['4nceA', '4ncmA', '4eqkA', '2vqzE', '2vqzD', '5junA', '2vqzB', '5f79A', '4yd0A', '5buhA', '4p1uA', '2vqzF']"
4ufcB,4ufcA,"['4ufcB']"
3it7A,3it7B,"['3it5A', '3it7A', '3it5G', '3it5B', '3it5E']"
5m63M,5m63M,"[]"
5tc2A,5tc2B,"['5tc2A']"
4k7xA,4q60B,"['4q60A']"
4k7xA,4k7xA,"[]"
5abyB,5abyF,"['5abxB', '5abyB', '5abyD']"
4qp5A,4qp5B,"['4qp5A', '4qpbA', '4qpbB']"
5hdaA,5hdaC,"[]"
5hdaA,5hdaA,"[]"
6nt2A,1oriA,"['1orhA', '1or8A']"
2no4B,2no5B,"['2no4B', '2no5A', '2no4A']"
1wmiA,1wmiC,"['1wmiA']"
3tqfA,3tqfA,"[]"
1x2wB,1j35B,"['1bj3B', '1x2wB', '1ixxB', '1x2tB', '1j34B', '1ixxF', '1x2tD', '1ixxD']"
1d2cA,1nbiA,"['2idjC', '3thsB', '1d2gB', '3thrA', '1r8yA', '3thsC', '1r8yB', '1d2cB', '1d2cA', '3thrC', '3thrD', '1d2gA', '1nbiD', '1r8yD', '2idkB', '1nbhA', '1kiaA', '1kiaD', '2idkC', '1r8yH', '2idjB', '1nbhB', '2idkA', '1r8xB', '1nbhD', '1r8xA', '1bhjB', '3thrB', '1nbiB', '1r8yG', '1kiaB', '1nbhC', '2idjA', '1xvaA', '1r8yF', '1bhjA', '1xvaB', '3thsA', '1r8yC', '3thsD', '1nbiC', '1r8yE', '2idkD', '2idjD', '1kiaC']"
4yyqA,4yyqB,"['4yyqA']"
6oarB,6oarD,"['6oarH', '6oarF', '6oarB']"
5gjxB,6kyuB,"['5gjxB', '5gjyB']"
2wtmA,2wtmB,"['2wtmC', '2wtmA', '2wtnB', '2wtmD', '2wtnA']"
2ibdA,2ibdA,"['2ibdB']"
3n2nF,3n2nA,"['3n2nC', '3n2nB', '3n2nF', '3n2nD', '3n2nE']"
3wtbA,3wtbG,"['3wtbE', '3wtbB', '3wtbC', '3wtbF', '3wtbH', '3wtbD', '3wtbA']"
4h6hB,4h6hA,"['4h6hC', '4h6hD', '4h6hB']"
